grocery_name,01,02,03,04,05,06,07,08,09,10,11,12
misc. beverages', 2, 4, 21, 24, 45, 29, 27, 28, 45, 25, 26, 3
napkins', 2, 2, 40, 40, 77, 62, 44, 28, 77, 55, 72, 16
shopping bags', 3, 16, 63, 91, 141, 121, 85, 48, 153, 125, 94, 29
spread cheese', 1, 2, 9, 7, 25, 11, 11, 6, 16, 9, 8, 5
oil', 5, 4, 23, 37, 40, 33, 31, 13, 42, 26, 34, 14
specialty vegetables', 0, 0, 0, 1, 4, 2, 2, 1, 2, 1, 4, 0
rice', 2, 1, 6, 8, 9, 8, 7, 5, 14, 6, 6, 3
turkey', 1, 0, 8, 7, 7, 13, 7, 9, 14, 7, 7, 0
canned vegetables', 1, 0, 6, 7, 13, 16, 12, 6, 23, 6, 12, 4
dog food', 0, 2, 5, 6, 11, 12, 7, 5, 11, 13, 12, 0
cream', 9, 12, 110, 97, 183, 155, 126, 83, 189, 119, 132, 39
white bread', 1, 4, 29, 38, 55, 49, 53, 36, 60, 36, 41, 12
pudding powder', 0, 0, 0, 3, 1, 4, 5, 1, 3, 3, 2, 1
rum', 0, 0, 7, 3, 7, 3, 2, 5, 5, 3, 5, 4
preservation products', 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
onions', 3, 2, 30, 28, 48, 36, 28, 20, 43, 30, 26, 11
domestic eggs', 4, 3, 49, 52, 95, 88, 57, 42, 96, 48, 75, 15
pickled vegetables', 2, 1, 9, 12, 27, 28, 20, 12, 30, 13, 19, 3
cookware', 0, 1, 1, 6, 4, 1, 4, 0, 3, 6, 1, 0
dessert', 2, 9, 35, 34, 79, 61, 52, 27, 62, 37, 48, 17
flower (seeds)', 1, 0, 7, 7, 15, 9, 6, 11, 18, 11, 12, 5
beverages', 4, 11, 44, 42, 81, 53, 50, 44, 94, 51, 44, 8
potato products', 2, 0, 10, 8, 18, 13, 15, 11, 12, 9, 11, 2
Instant food products', 0, 1, 8, 5, 11, 9, 13, 3, 10, 7, 8, 4
ketchup', 0, 0, 1, 4, 8, 3, 4, 8, 6, 5, 0, 3
finished products', 0, 2, 2, 4, 11, 10, 6, 3, 12, 6, 3, 5
female sanitary products', 0, 1, 5, 6, 10, 3, 6, 5, 10, 7, 6, 1
bottled water', 13, 11, 109, 84, 175, 123, 94, 71, 172, 99, 102, 34
frozen dessert', 1, 0, 13, 6, 18, 23, 4, 4, 13, 12, 8, 4
butter milk', 4, 4, 21, 23, 37, 33, 31, 17, 37, 31, 26, 11
brown bread', 7, 4, 39, 58, 90, 66, 73, 44, 104, 64, 65, 24
